1,2.267
2,2.519
3,2.082
4,0.815
5,0.467
6,13.785
7,14.462
8,13.644
9,6.074
10,1.827
11,0.647
12,1.892
13,2.649
14,0.688
15,2.646
16,0.525
17,0.851
18,0.469
19,1.068
20,0.682
21,0.298
22,9.946
23,9.712
24,14.771
25,13.981
26,12.323
27,10.431
28,5.992
29,5.354
30,6.878
31,3.598
32,14.972
33,14.34
34,6.933
35,7.419
36,8.239
37,
