1.213,0.709
0.21,0.214
0.311,0.215
0.311,0.21
0.41,0.412
0.412,0.307
0.413,0.316
0.413,0.41
0.415,0.311
0.417,0.314
0.429,1.514
0.511,1.414
0.511,0.628
0.512,1.52
0.514,1.62
0.525,0.307
0.609,0.724
0.711,0.617
0.812,0.617
0.814,1.316
0.913,1.015
0.913,11.06
0.935,1.529
1.009,2.037
1.019,0.611
1.032,1.309
1.219,9.629
1.222,9.84
1.231,2.225
1.314,1.51
1.355,9.737
1.411,1.818
1.419,3.825
1.42,1.217
1.614,2.515
1.737,2.211
2.013,2.531
2.039,3.222
2.115,2.128
2.224,23.175
2.333,2.421
2.616,2.717
2.718,2.616
3.018,12.167
3.115,2.424
3.578,1080.434
4.156,39.314
4.716,3.913
5.128,5.924
5.221,4.219
6.044,4.922
7.624,6.448
7.789,26.776
8.03,9.036
8.08,7.352
